0,2047,227
1000,2047,455
2000,2047,682
3000,2047,910
4000,2047,1137
5000,0,1137
6000,0,1137
7000,0,1137
8000,0,1137
9000,2047,1137
10000,2047,1137
11000,2047,1137
12000,2047,1137
13000,2047,1137
14000,0,1137
15000,0,1137
16000,0,1137
17000,0,1137
18000,2047,1137
19000,2047,1137
20000,2047,1137
21000,2047,1137
22000,2047,1137
23000,0,1137
24000,0,1137
25000,0,1137
26000,0,1137
27000,2047,1137
28000,2047,1137
29000,2047,1137
30000,2047,1137
31000,2047,1137
32000,0,1137
33000,0,1137
34000,0,1137
35000,0,1137
36000,2047,1137
37000,2047,1137
38000,2047,1137
39000,2047,1137
40000,2047,1137
41000,0,1137
42000,0,1137
43000,0,1137
44000,0,1137
45000,2047,1137
46000,2047,1137
47000,2047,1137
48000,2047,1137
49000,2047,1137
50000,0,1137
51000,0,1137
52000,0,1137
53000,0,1137
54000,2047,1137
55000,2047,1137
56000,2047,1137
57000,2047,1137
58000,2047,1137
59000,0,1137
60000,0,1137
61000,0,1137
62000,0,1137
63000,2047,1137
64000,2047,1137
65000,2047,1137
66000,2047,1137
67000,2047,1137
68000,0,1137
69000,0,1137
70000,0,1137
71000,0,1137
72000,2047,1137
73000,2047,1137
74000,2047,1137
75000,2047,1137
76000,2047,1137
77000,0,1137
78000,0,1137
79000,0,1137
80000,0,1137
81000,2047,1137
82000,2047,1137
83000,2047,1137
84000,2047,1137
85000,2047,1137
86000,0,1137
87000,0,1137
88000,0,1137
89000,0,1137
90000,2047,1137
91000,2047,1137
92000,2047,1137
93000,2047,1137
94000,2047,1137
95000,0,1137
96000,0,1137
97000,0,1137
98000,0,1137
99000,2047,1137
100000,2047,1137
